Date Reported,DR Number,Date Occurred,Time Occurred,Area,Area Name,RD,Crime Code,Crime Code Description,Status,Status Description,Location,Cross Street,Lat and Long
7/11/2016 12:00,161218387,7/11/2016 12:00,315,12,77th Street,1249,626,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,AO,Adult Other,707 W  70TH                         ST,,"(33.9761, -118.286)"
7/10/2016 12:00,161713029,7/10/2016 12:00,330,17,Devonshire,1764,888,TRESPASSING,IC,Invest Cont,9400    CORBIN                       AV,,"(34.241, -118.5623)"
4/16/2016 12:00,161411648,4/16/2016 12:00,1,14,Pacific,1488,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont,8708    READING                      AV,,"(33.959, -118.3827)"
6/27/2016 12:00,160912984,6/26/2016 12:00,2245,9,Van Nuys,909,626,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,AO,Adult Other,7351    WOODMAN                      AV,,"(34.2031, -118.4313)"
2/11/2016 12:00,161005722,2/10/2016 12:00,1700,10,West Valley,1097,310,BURGLARY,IC,Invest Cont,16986    ENCINO HILLS                 DR,,"(34.1365, -118.5013)"
1/24/2016 12:00,160305449,1/4/2016 12:00,1400,3,Southwest,363,110,CRIMINAL HOMICIDE,AA,Adult Arrest,4121    SANTO TOMAS                  DR,,"(34.0099, -118.3446)"
6/17/2016 12:00,161313945,6/17/2016 12:00,1300,13,Newton,1309,330,BURGLARY FROM VEHICLE,IC,Invest Cont,1409 S  SANTA FE                     AV,,"(34.0276, -118.2299)"
6/30/2016 12:00,161417698,6/30/2016 12:00,1624,14,Pacific,1432,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",IC,Invest Cont,934    CALIFORNIA                   AV,,"(33.9964, -118.4621)"
8/18/2016 12:00,161916776,8/17/2016 12:00,2230,19,Mission,1991,510,VEHICLE - STOLEN,IC,Invest Cont,8140    LANGDON                      AV,,"(34.218, -118.4688)"
2/4/2016 12:00,161605370,2/4/2016 12:00,100,16,Foothill,1691,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,AO,Adult Other,8041    WILKINSON                    AV,,"(34.2158, -118.4042)"
9/7/2016 12:00,162016355,9/7/2016 12:00,1230,20,Olympic,2023,626,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,IC,Invest Cont,451 S  HARVARD                      BL,,"(34.0672, -118.3041)"
1/4/2016 12:00,160804323,1/4/2016 12:00,1645,8,West LA,881,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",IC,Invest Cont,GRANVILLE,OLYMPIC,"(34.0332, -118.4499)"
